id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Sunset on Kingston Pier,Marley Tide,reggae,nostalgic,0.64,92,0.72,0.78,0.36
12,Luna de Barrio,Rosa Fuego,latin,euphoric,0.88,126,0.81,0.90,0.14
13,Glass Cathedral,Aria North,classical,cinematic,0.29,68,0.47,0.22,0.95
14,Iron Horizon,Black Volt,metal,rebellious,0.96,172,0.39,0.58,0.03
15,Golden Heatwave,Kito Pulse,afrobeats,dreamy,0.84,108,0.86,0.87,0.19
16,Pine and Ember,Willow Freight,folk,melancholic,0.41,76,0.44,0.49,0.82
17,Neon Courtyard,Zeta District,house,euphoric,0.91,124,0.79,0.93,0.07
18,Midnight Brassline,Delta Rue,blues,nostalgic,0.52,84,0.55,0.61,0.67

